Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type,Engagement Rate,Day of the Week,Hour
2023-03-25 09:00:00,General,Twitter,Community Engagement ,9761,92,Video,0.009425263804938019,Saturday,9
2023-03-24 19:28:00,CSGO,Twitter,Community Engagement ,855,9,Photo,0.010526315789473684,Friday,19
2023-03-24 18:03:00,CSGO,Twitter,Community Engagement ,1254,10,Photo,0.007974481658692184,Friday,18
2023-03-24 17:57:00,General,LinkedIn,Community Engagement ,933,16,Photo,0.01714898177920686,Friday,17
2023-03-24 17:06:00,CSGO,Twitter,Community Engagement ,1891,33,Photo,0.017451084082496033,Friday,17
2023-03-24 13:54:00,General,LinkedIn,Community Engagement ,2026,48,Video,0.023692003948667325,Friday,13
2023-03-24 13:54:00,General,LinkedIn,Community Engagement ,917,12,Photo,0.013086150490730643,Friday,13
2023-03-24 13:30:00,General,Twitter,Community Engagement ,10785,79,Photo,0.007324988409828466,Friday,13
2023-03-24 13:18:00,General,YouTube,Community Engagement ,340,23,Video,0.06764705882352941,Friday,13
2023-03-24 13:00:00,General,Twitter,Community Engagement ,13252,44,Link,0.0033202535466344703,Friday,13
2023-03-24 13:00:00,General,Twitter,Community Engagement ,18405,349,Photo,0.018962238522140722,Friday,13
2023-03-24 12:51:00,General,Twitter,Community Engagement ,2127,20,Text,0.009402914903620122,Friday,12
2023-03-24 12:30:00,General,Twitter,Community Engagement ,4565,164,Video,0.03592552026286966,Friday,12
2023-03-24 12:25:00,General,TikTok,N/A ,1018,122,Video,0.11984282907662082,Friday,12
2023-03-24 12:24:00,General,Instagram,Community Engagement ,5579,0,Photo,0.0,Friday,12
2023-03-24 11:46:00,General,Twitter,Community Engagement ,3059,51,Link,0.016672115070284408,Friday,11
2023-03-24 11:37:00,General,Twitter,Community Engagement ,9237,105,Link,0.01136732705423839,Friday,11
2023-03-24 11:34:00,General,Facebook,Community Engagement ,7489,408,Video,0.05447990385899319,Friday,11
2023-03-24 11:34:00,DOTA2,Twitter,Community Engagement ,2615,86,Video,0.03288718929254302,Friday,11
2023-03-24 11:31:00,General,Facebook,Community Engagement ,4663,123,Video,0.02637786832511259,Friday,11
2023-03-24 11:31:00,General,Instagram,Community Engagement ,14237,434,Video,0.03048395027042214,Friday,11
2023-03-24 11:30:00,General,Twitter,Community Engagement ,142423,5881,Video,0.04129248787063887,Friday,11
2023-03-24 11:24:00,General,YouTube,Community Engagement ,2846,130,Video,0.04567814476458187,Friday,11
2023-03-24 09:12:00,General,Instagram,Evergreen ,3048,20,Video,0.006561679790026247,Friday,9
2023-03-24 09:12:00,General,TikTok,Evergreen ,269,11,Video,0.040892193308550186,Friday,9
2023-03-24 09:00:00,General,Instagram,Community Engagement ,16432,370,Photo,0.022517039922103212,Friday,9
2023-03-24 09:00:00,General,Twitter,Community Engagement ,13422,145,Photo,0.010803158992698554,Friday,9
2023-03-24 09:00:00,DOTA2,Twitter,Community Engagement ,1750,38,Photo,0.021714285714285714,Friday,9
2023-03-24 09:00:00,General,Facebook,Community Engagement ,12438,407,Photo,0.03272230262100016,Friday,9
